Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.521400000000000091e+03,-6.145701999999999998e+01,-6.145701999999999998e+01
1.521599999999999909e+03,-6.038559000000000054e+01,-6.038559000000000054e+01
1.521799999999999955e+03,-6.150005999999999773e+01,-6.150005999999999773e+01
1.522000000000000000e+03,-6.230834999999999724e+01,-6.230834999999999724e+01
1.522200000000000045e+03,-6.041326000000000107e+01,-6.041326000000000107e+01
1.522400000000000091e+03,-6.250401000000000096e+01,-6.250401000000000096e+01
1.522599999999999909e+03,-6.028251999999999811e+01,-6.028251999999999811e+01
1.522799999999999955e+03,-5.996056999999999704e+01,-5.996056999999999704e+01
1.523000000000000000e+03,-5.952488000000000312e+01,-5.952488000000000312e+01
1.523200000000000045e+03,-5.769915000000000305e+01,-5.769915000000000305e+01
1.523400000000000091e+03,-5.753020000000000067e+01,-5.753020000000000067e+01
1.523599999999999909e+03,-5.764985999999999677e+01,-5.764985999999999677e+01
1.523799999999999955e+03,-5.961482000000000170e+01,-5.961482000000000170e+01
1.524000000000000000e+03,-5.682663999999999760e+01,-5.682663999999999760e+01
1.524200000000000045e+03,-5.453983000000000203e+01,-5.453983000000000203e+01
1.524400000000000091e+03,-5.363141999999999854e+01,-5.363141999999999854e+01
1.524599999999999909e+03,-5.293769999999999953e+01,-5.293769999999999953e+01
1.524799999999999955e+03,-5.395568000000000097e+01,-5.395568000000000097e+01
1.525000000000000000e+03,-5.268950000000000244e+01,-5.268950000000000244e+01
1.525200000000000045e+03,-5.350099999999999767e+01,-5.350099999999999767e+01
1.525400000000000091e+03,-5.345257999999999754e+01,-5.345257999999999754e+01
1.525599999999999909e+03,-5.218739999999999668e+01,-5.218739999999999668e+01
1.525799999999999955e+03,-5.254196999999999917e+01,-5.254196999999999917e+01
1.526000000000000000e+03,-5.244747000000000270e+01,-5.244747000000000270e+01
1.526200000000000045e+03,-5.321773999999999916e+01,-5.321773999999999916e+01
1.526400000000000091e+03,-5.267822000000000315e+01,-5.267822000000000315e+01
1.526599999999999909e+03,-5.252403999999999940e+01,-5.252403999999999940e+01
1.526799999999999955e+03,-5.087501999999999924e+01,-5.087501999999999924e+01
1.527000000000000000e+03,-5.112512999999999863e+01,-5.112512999999999863e+01
1.527200000000000045e+03,-5.140406000000000120e+01,-5.140406000000000120e+01
1.527400000000000091e+03,-5.075131999999999977e+01,-5.075131999999999977e+01
1.527599999999999909e+03,-5.138846999999999809e+01,-5.138846999999999809e+01
1.527799999999999955e+03,-5.018856000000000250e+01,-5.018856000000000250e+01
1.528000000000000000e+03,-4.959073999999999671e+01,-4.959073999999999671e+01
1.528200000000000045e+03,-4.920806000000000324e+01,-4.920806000000000324e+01
1.528400000000000091e+03,-4.911997000000000213e+01,-4.911997000000000213e+01
1.528599999999999909e+03,-4.944579999999999842e+01,-4.944579999999999842e+01
1.528799999999999955e+03,-4.895159999999999911e+01,-4.895159999999999911e+01
1.529000000000000000e+03,-4.913933000000000106e+01,-4.913933000000000106e+01
1.529200000000000045e+03,-4.832558000000000220e+01,-4.832558000000000220e+01
1.529400000000000091e+03,-4.903233000000000175e+01,-4.903233000000000175e+01
1.529599999999999909e+03,-4.908650000000000091e+01,-4.908650000000000091e+01
1.529799999999999955e+03,-4.893789999999999907e+01,-4.893789999999999907e+01
1.530000000000000000e+03,-4.904943000000000097e+01,-4.904943000000000097e+01
1.530200000000000045e+03,-4.841561000000000092e+01,-4.841561000000000092e+01
1.530400000000000091e+03,-4.899036000000000257e+01,-4.899036000000000257e+01
1.530599999999999909e+03,-4.827669999999999817e+01,-4.827669999999999817e+01
1.530799999999999955e+03,-4.866734000000000293e+01,-4.866734000000000293e+01
1.531000000000000000e+03,-4.799193999999999960e+01,-4.799193999999999960e+01
1.531200000000000045e+03,-4.803632999999999953e+01,-4.803632999999999953e+01
1.531400000000000091e+03,-4.805133000000000010e+01,-4.805133000000000010e+01
1.531599999999999909e+03,-4.758442000000000149e+01,-4.758442000000000149e+01
1.531799999999999955e+03,-4.819053000000000253e+01,-4.819053000000000253e+01
1.532000000000000000e+03,-4.759185000000000088e+01,-4.759185000000000088e+01
1.532200000000000045e+03,-4.778773999999999944e+01,-4.778773999999999944e+01
1.532400000000000091e+03,-4.699107000000000056e+01,-4.699107000000000056e+01
1.532599999999999909e+03,-4.750560999999999723e+01,-4.750560999999999723e+01
1.532799999999999955e+03,-4.642210000000000036e+01,-4.642210000000000036e+01
1.533000000000000000e+03,-4.624486000000000274e+01,-4.624486000000000274e+01
1.533200000000000045e+03,-4.731085000000000207e+01,-4.731085000000000207e+01
1.533400000000000091e+03,-4.695897999999999683e+01,-4.695897999999999683e+01
1.533599999999999909e+03,-4.784264999999999901e+01,-4.784264999999999901e+01
1.533799999999999955e+03,-4.701995999999999754e+01,-4.701995999999999754e+01
1.534000000000000000e+03,-4.748293000000000319e+01,-4.748293000000000319e+01
1.534200000000000045e+03,-4.761664999999999992e+01,-4.761664999999999992e+01
1.534400000000000091e+03,-4.709503000000000128e+01,-4.709503000000000128e+01
1.534599999999999909e+03,-4.718793999999999755e+01,-4.718793999999999755e+01
1.534799999999999955e+03,-4.666747999999999763e+01,-4.666747999999999763e+01
1.535000000000000000e+03,-4.659064000000000050e+01,-4.659064000000000050e+01
1.535200000000000045e+03,-4.608080000000000354e+01,-4.608080000000000354e+01
1.535400000000000091e+03,-4.668632999999999811e+01,-4.668632999999999811e+01
1.535599999999999909e+03,-4.693807999999999936e+01,-4.693807999999999936e+01
1.535799999999999955e+03,-4.785994000000000170e+01,-4.785994000000000170e+01
1.536000000000000000e+03,-4.764141000000000048e+01,-4.764141000000000048e+01
1.536200000000000045e+03,-4.770194000000000045e+01,-4.770194000000000045e+01
1.536400000000000091e+03,-4.763703999999999894e+01,-4.763703999999999894e+01
1.536599999999999909e+03,-4.672661000000000087e+01,-4.672661000000000087e+01
1.536799999999999955e+03,-4.631427999999999656e+01,-4.631427999999999656e+01
1.537000000000000000e+03,-4.666454000000000235e+01,-4.666454000000000235e+01
1.537200000000000045e+03,-4.754287999999999670e+01,-4.754287999999999670e+01
1.537400000000000091e+03,-4.735569999999999879e+01,-4.735569999999999879e+01
1.537599999999999909e+03,-4.759805999999999671e+01,-4.759805999999999671e+01
1.537799999999999955e+03,-4.780980999999999881e+01,-4.780980999999999881e+01
1.538000000000000000e+03,-4.802918999999999983e+01,-4.802918999999999983e+01
1.538200000000000045e+03,-4.793173999999999779e+01,-4.793173999999999779e+01
1.538400000000000091e+03,-4.775553000000000026e+01,-4.775553000000000026e+01
1.538599999999999909e+03,-4.742620000000000147e+01,-4.742620000000000147e+01
1.538799999999999955e+03,-4.730480000000000018e+01,-4.730480000000000018e+01
1.539000000000000000e+03,-4.761881000000000341e+01,-4.761881000000000341e+01
1.539200000000000045e+03,-4.769418999999999897e+01,-4.769418999999999897e+01
1.539400000000000091e+03,-4.802192000000000149e+01,-4.802192000000000149e+01
1.539599999999999909e+03,-4.837467999999999790e+01,-4.837467999999999790e+01
1.539799999999999955e+03,-4.831647999999999854e+01,-4.831647999999999854e+01
1.540000000000000000e+03,-4.831277999999999651e+01,-4.831277999999999651e+01
1.540200000000000045e+03,-4.926317000000000235e+01,-4.926317000000000235e+01
1.540400000000000091e+03,-4.915659000000000134e+01,-4.915659000000000134e+01
1.540599999999999909e+03,-4.931794000000000011e+01,-4.931794000000000011e+01
1.540799999999999955e+03,-4.926071999999999917e+01,-4.926071999999999917e+01
1.541000000000000000e+03,-4.884743000000000279e+01,-4.884743000000000279e+01
1.541200000000000045e+03,-4.889755000000000251e+01,-4.889755000000000251e+01
1.541400000000000091e+03,-4.958881999999999834e+01,-4.958881999999999834e+01
1.541599999999999909e+03,-4.975386999999999915e+01,-4.975386999999999915e+01
1.541799999999999955e+03,-5.031248999999999683e+01,-5.031248999999999683e+01
1.542000000000000000e+03,-5.058834999999999837e+01,-5.058834999999999837e+01
1.542200000000000045e+03,-5.048194000000000159e+01,-5.048194000000000159e+01
1.542400000000000091e+03,-5.054169000000000267e+01,-5.054169000000000267e+01
1.542599999999999909e+03,-5.117761000000000138e+01,-5.117761000000000138e+01
1.542799999999999955e+03,-5.111243999999999943e+01,-5.111243999999999943e+01
1.543000000000000000e+03,-5.228712999999999766e+01,-5.228712999999999766e+01
1.543200000000000045e+03,-5.190099000000000018e+01,-5.190099000000000018e+01
1.543400000000000091e+03,-5.205781999999999954e+01,-5.205781999999999954e+01
1.543599999999999909e+03,-5.223872999999999678e+01,-5.223872999999999678e+01
1.543799999999999955e+03,-5.209342999999999790e+01,-5.209342999999999790e+01
1.544000000000000000e+03,-5.279017999999999944e+01,-5.279017999999999944e+01
1.544200000000000045e+03,-5.324998000000000076e+01,-5.324998000000000076e+01
1.544400000000000091e+03,-5.413913999999999760e+01,-5.413913999999999760e+01
1.544599999999999909e+03,-5.508068000000000097e+01,-5.508068000000000097e+01
1.544799999999999955e+03,-5.636281999999999925e+01,-5.636281999999999925e+01
1.545000000000000000e+03,-5.561925000000000097e+01,-5.561925000000000097e+01
1.545200000000000045e+03,-5.531165000000000020e+01,-5.531165000000000020e+01
1.545400000000000091e+03,-5.585578000000000287e+01,-5.585578000000000287e+01
1.545599999999999909e+03,-5.436010000000000275e+01,-5.436010000000000275e+01
1.545799999999999955e+03,-5.498792000000000257e+01,-5.498792000000000257e+01
1.546000000000000000e+03,-5.529133000000000209e+01,-5.529133000000000209e+01
1.546200000000000045e+03,-5.584067999999999898e+01,-5.584067999999999898e+01
1.546400000000000091e+03,-5.610273999999999717e+01,-5.610273999999999717e+01
1.546599999999999909e+03,-5.740390000000000015e+01,-5.740390000000000015e+01
1.546799999999999955e+03,-5.876959999999999695e+01,-5.876959999999999695e+01
1.547000000000000000e+03,-5.771390000000000242e+01,-5.771390000000000242e+01
1.547200000000000045e+03,-5.847017999999999915e+01,-5.847017999999999915e+01
1.547400000000000091e+03,-5.871634000000000242e+01,-5.871634000000000242e+01
1.547599999999999909e+03,-5.861028999999999911e+01,-5.861028999999999911e+01
1.547799999999999955e+03,-6.179444999999999766e+01,-6.179444999999999766e+01
1.548000000000000000e+03,-6.158782999999999674e+01,-6.158782999999999674e+01
1.548200000000000045e+03,-6.278164999999999907e+01,-6.278164999999999907e+01
1.548400000000000091e+03,-6.136715999999999838e+01,-6.136715999999999838e+01
1.548599999999999909e+03,-6.198758999999999730e+01,-6.198758999999999730e+01
1.548799999999999955e+03,-5.985660000000000025e+01,-5.985660000000000025e+01
1.549000000000000000e+03,-6.216595999999999833e+01,-6.216595999999999833e+01
1.549200000000000045e+03,-6.009421999999999997e+01,-6.009421999999999997e+01
1.549400000000000091e+03,-5.742553000000000196e+01,-5.742553000000000196e+01
1.549599999999999909e+03,-5.683952000000000027e+01,-5.683952000000000027e+01
1.549799999999999955e+03,-5.779316000000000031e+01,-5.779316000000000031e+01
1.550000000000000000e+03,-5.855545000000000044e+01,-5.855545000000000044e+01
1.550200000000000045e+03,-5.915381000000000000e+01,-5.915381000000000000e+01
1.550400000000000091e+03,-5.863468999999999909e+01,-5.863468999999999909e+01
1.550599999999999909e+03,-5.782679999999999865e+01,-5.782679999999999865e+01
1.550799999999999955e+03,-5.492837000000000103e+01,-5.492837000000000103e+01
1.551000000000000000e+03,-5.526565999999999690e+01,-5.526565999999999690e+01
1.551200000000000045e+03,-5.337053999999999832e+01,-5.337053999999999832e+01
1.551400000000000091e+03,-5.346148000000000167e+01,-5.346148000000000167e+01
1.551599999999999909e+03,-5.321849999999999881e+01,-5.321849999999999881e+01
1.551799999999999955e+03,-5.402358000000000260e+01,-5.402358000000000260e+01
1.552000000000000000e+03,-5.432965000000000089e+01,-5.432965000000000089e+01
1.552200000000000045e+03,-5.402658000000000271e+01,-5.402658000000000271e+01
1.552400000000000091e+03,-5.318229999999999791e+01,-5.318229999999999791e+01
1.552599999999999909e+03,-5.235907000000000266e+01,-5.235907000000000266e+01
1.552799999999999955e+03,-5.303486999999999796e+01,-5.303486999999999796e+01
1.553000000000000000e+03,-5.368757999999999697e+01,-5.368757999999999697e+01
1.553200000000000045e+03,-5.356962999999999653e+01,-5.356962999999999653e+01
1.553400000000000091e+03,-5.257276000000000238e+01,-5.257276000000000238e+01
1.553599999999999909e+03,-5.197959999999999781e+01,-5.197959999999999781e+01
1.553799999999999955e+03,-5.121414000000000044e+01,-5.121414000000000044e+01
1.554000000000000000e+03,-5.158843000000000245e+01,-5.158843000000000245e+01
1.554200000000000045e+03,-5.076415000000000077e+01,-5.076415000000000077e+01
1.554400000000000091e+03,-5.087118999999999858e+01,-5.087118999999999858e+01
1.554599999999999909e+03,-5.062753000000000014e+01,-5.062753000000000014e+01
1.554799999999999955e+03,-5.034118999999999744e+01,-5.034118999999999744e+01
1.555000000000000000e+03,-5.048268999999999807e+01,-5.048268999999999807e+01
1.555200000000000045e+03,-5.053759000000000157e+01,-5.053759000000000157e+01
1.555400000000000091e+03,-5.045452000000000226e+01,-5.045452000000000226e+01
1.555599999999999909e+03,-4.973758000000000123e+01,-4.973758000000000123e+01
1.555799999999999955e+03,-4.945004000000000133e+01,-4.945004000000000133e+01
1.556000000000000000e+03,-4.890285000000000082e+01,-4.890285000000000082e+01
1.556200000000000045e+03,-4.874793999999999983e+01,-4.874793999999999983e+01
1.556400000000000091e+03,-4.918932999999999822e+01,-4.918932999999999822e+01
1.556599999999999909e+03,-4.909306999999999732e+01,-4.909306999999999732e+01
1.556799999999999955e+03,-4.911554999999999893e+01,-4.911554999999999893e+01
1.557000000000000000e+03,-4.908975999999999829e+01,-4.908975999999999829e+01
1.557200000000000045e+03,-4.852517000000000280e+01,-4.852517000000000280e+01
1.557400000000000091e+03,-4.787230999999999881e+01,-4.787230999999999881e+01
1.557599999999999909e+03,-4.820983999999999980e+01,-4.820983999999999980e+01
1.557799999999999955e+03,-4.830521000000000242e+01,-4.830521000000000242e+01
1.558000000000000000e+03,-4.859237000000000251e+01,-4.859237000000000251e+01
1.558200000000000045e+03,-4.837319999999999709e+01,-4.837319999999999709e+01
1.558400000000000091e+03,-4.849289000000000271e+01,-4.849289000000000271e+01
1.558599999999999909e+03,-4.785434999999999661e+01,-4.785434999999999661e+01
1.558799999999999955e+03,-4.843715000000000259e+01,-4.843715000000000259e+01
1.559000000000000000e+03,-4.826610000000000156e+01,-4.826610000000000156e+01
1.559200000000000045e+03,-4.789526000000000039e+01,-4.789526000000000039e+01
1.559400000000000091e+03,-4.746741999999999706e+01,-4.746741999999999706e+01
1.559599999999999909e+03,-4.798834999999999695e+01,-4.798834999999999695e+01
1.559799999999999955e+03,-4.776984000000000208e+01,-4.776984000000000208e+01
1.560000000000000000e+03,-4.762754999999999939e+01,-4.762754999999999939e+01
1.560200000000000045e+03,-4.761314999999999742e+01,-4.761314999999999742e+01
1.560400000000000091e+03,-4.750187999999999988e+01,-4.750187999999999988e+01
1.560599999999999909e+03,-4.778661999999999921e+01,-4.778661999999999921e+01
1.560799999999999955e+03,-4.777935000000000088e+01,-4.777935000000000088e+01
1.561000000000000000e+03,-4.736366000000000298e+01,-4.736366000000000298e+01
1.561200000000000045e+03,-4.751946000000000225e+01,-4.751946000000000225e+01
1.561400000000000091e+03,-4.763920999999999850e+01,-4.763920999999999850e+01
1.561599999999999909e+03,-4.739021999999999935e+01,-4.739021999999999935e+01
1.561799999999999955e+03,-4.730716000000000321e+01,-4.730716000000000321e+01
1.562000000000000000e+03,-4.685378999999999650e+01,-4.685378999999999650e+01
1.562200000000000045e+03,-4.738235000000000241e+01,-4.738235000000000241e+01
1.562400000000000091e+03,-4.742282000000000153e+01,-4.742282000000000153e+01
1.562599999999999909e+03,-4.754191000000000145e+01,-4.754191000000000145e+01
1.562799999999999955e+03,-4.741253999999999991e+01,-4.741253999999999991e+01
1.563000000000000000e+03,-4.778585999999999956e+01,-4.778585999999999956e+01
1.563200000000000045e+03,-4.708543000000000234e+01,-4.708543000000000234e+01
1.563400000000000091e+03,-4.790408000000000044e+01,-4.790408000000000044e+01
1.563599999999999909e+03,-4.786511999999999745e+01,-4.786511999999999745e+01
1.563799999999999955e+03,-4.742076000000000136e+01,-4.742076000000000136e+01
1.564000000000000000e+03,-4.735002999999999673e+01,-4.735002999999999673e+01
1.564200000000000045e+03,-4.748163999999999874e+01,-4.748163999999999874e+01
1.564400000000000091e+03,-4.748653000000000191e+01,-4.748653000000000191e+01
1.564599999999999909e+03,-4.758445999999999998e+01,-4.758445999999999998e+01
1.564799999999999955e+03,-4.775034000000000134e+01,-4.775034000000000134e+01
1.565000000000000000e+03,-4.769993999999999801e+01,-4.769993999999999801e+01
1.565200000000000045e+03,-4.717884999999999707e+01,-4.717884999999999707e+01
1.565400000000000091e+03,-4.749094999999999800e+01,-4.749094999999999800e+01
1.565599999999999909e+03,-4.773116000000000270e+01,-4.773116000000000270e+01
1.565799999999999955e+03,-4.761034999999999684e+01,-4.761034999999999684e+01
1.566000000000000000e+03,-4.786699000000000126e+01,-4.786699000000000126e+01
1.566200000000000045e+03,-4.848810999999999893e+01,-4.848810999999999893e+01
1.566400000000000091e+03,-4.811220000000000141e+01,-4.811220000000000141e+01
1.566599999999999909e+03,-4.839920000000000044e+01,-4.839920000000000044e+01
1.566799999999999955e+03,-4.819013999999999953e+01,-4.819013999999999953e+01
1.567000000000000000e+03,-4.825614999999999810e+01,-4.825614999999999810e+01
1.567200000000000045e+03,-4.936182000000000158e+01,-4.936182000000000158e+01
1.567400000000000091e+03,-4.946130000000000138e+01,-4.946130000000000138e+01
1.567599999999999909e+03,-4.916962000000000188e+01,-4.916962000000000188e+01
1.567799999999999955e+03,-4.963163000000000125e+01,-4.963163000000000125e+01
1.568000000000000000e+03,-5.013703000000000287e+01,-5.013703000000000287e+01
1.568200000000000045e+03,-5.027584000000000231e+01,-5.027584000000000231e+01
1.568400000000000091e+03,-4.940919999999999845e+01,-4.940919999999999845e+01
1.568599999999999909e+03,-4.941169000000000011e+01,-4.941169000000000011e+01
1.568799999999999955e+03,-4.980163999999999902e+01,-4.980163999999999902e+01
1.569000000000000000e+03,-4.923575999999999908e+01,-4.923575999999999908e+01
1.569200000000000045e+03,-4.951941999999999666e+01,-4.951941999999999666e+01
1.569400000000000091e+03,-5.072460999999999842e+01,-5.072460999999999842e+01
1.569599999999999909e+03,-5.139670999999999879e+01,-5.139670999999999879e+01
1.569799999999999955e+03,-5.134228999999999843e+01,-5.134228999999999843e+01
1.570000000000000000e+03,-5.172619000000000256e+01,-5.172619000000000256e+01
1.570200000000000045e+03,-5.147326000000000334e+01,-5.147326000000000334e+01
1.570400000000000091e+03,-5.126677000000000106e+01,-5.126677000000000106e+01
1.570599999999999909e+03,-5.163615000000000066e+01,-5.163615000000000066e+01
1.570799999999999955e+03,-5.183957000000000193e+01,-5.183957000000000193e+01
1.571000000000000000e+03,-5.221340000000000003e+01,-5.221340000000000003e+01
1.571200000000000045e+03,-5.293092000000000041e+01,-5.293092000000000041e+01
1.571400000000000091e+03,-5.322178000000000253e+01,-5.322178000000000253e+01
1.571599999999999909e+03,-5.395571999999999946e+01,-5.395571999999999946e+01
1.571799999999999955e+03,-5.425717000000000212e+01,-5.425717000000000212e+01
1.572000000000000000e+03,-5.566864000000000345e+01,-5.566864000000000345e+01
1.572200000000000045e+03,-5.470806999999999931e+01,-5.470806999999999931e+01
1.572400000000000091e+03,-5.445517999999999859e+01,-5.445517999999999859e+01
1.572599999999999909e+03,-5.409237000000000251e+01,-5.409237000000000251e+01
1.572799999999999955e+03,-5.398671000000000220e+01,-5.398671000000000220e+01
